Character,Dialogue,Sentiment
NICK,"Where're you going, Ichiro?",Positive
DELACROIX,Yes.  And I say yes because who is to judge?  Who is to stand before us and say this is righteous and this is not?  Who?  Who can play God?,Negative
NORMAL,Which is none of your business...or mine.,Negative
ANTHONY,He says. This is he.,Positive
KING ARNULF,Not when we explain about the Great Blessing.,Negative
WEST,"You know how to work a pistol, Dunbar?",Negative
HOMER,"Don't get too excited, Fuzzy.",Negative
OVEUR,Roger.  You better get back there and monitor the regulatory unit.,Negative
VERA,Are you getting tired?,Negative
TROY,It means that your taste in men's apparel is as bad as your taste in men.,Negative
NORMAL,You tell Theo he's not in tomorrow he can start looking for another job.,Negative
KORBEN,You learned 900 languages in five minutes?!,Negative
DIGNAN,He was all right.,Positive
WALLACE,Mornay has come. So will the Bruce.,Positive
CARR,He needn't. I have no desire to cause him any discomfort. Did you make those inquiries we spoke about?,Negative
MILLER,What does it say?,Negative
DR. EVIL,The details of my life are quite inconsequential.,Negative
WELLES,"I'm okay, honey, I'm okay.  Are you alright?",Positive
AUSTIN,"Look at her hands, baby! Those are carpenter's hands.",Positive
HOMER,"Whoever they were, they didn't *do* any of the things parents are supposed to do. Dr. Larch did those things, and Nurse Edna, and Nurse Angela.",Negative
PASTOR,"The Lord is remarkably tolerant of the charitable.  ""Jesse Woodson James."" Jesse James? The Jesse James?",Positive
VANESSA,"Austin, what's your point?",Negative
MATT,"Well, he was making love to her.",Positive
DUNWITTY,What are there character traits?,Negative
BATEMAN,Thanks. It slipped my mind completely.,Positive
JEFFREY,Don? Where is he?,Negative
DR. THURMAN,When will this happen?,Negative
HOLDEN,"You reach down and flip the tortoise over on its back, Leon.",Negative
MICHAEL,Hey there.  Tired of breathing?,Negative
LILY,What do I have to do?,Negative
SWAYZAK,I'm a little busy right now --,Negative
NAOMI,I've got to finish this chapter anyway.,Negative
CATES,"Aw, bullshit, you heard wrong.",Negative
HELEN,"I don't know how far you'll have to travel to find supplies, but if you can't get home by nightfall, I want you to look for something called a Holiday Inn. Write that down. It's a hotel. There might still be one standing.",Negative
HOLLIS,"Don't thank me, Bill. I'm not doing you any favors.",Negative
LAZARUS,My Daddy told me that a younger woman would bleed me dry. And that's what you did. Ya bled me.,Negative
ELAINE,"I think so, but I've never seen it so acute.",Positive
JETSON,Where is the drug?  Where have they taken it?,Negative
SALIERI,Do any pupils come to the house?,Negative
PRINCESS,"I have taken vows. More than one. I've vowed faithfulness to my husband, and sworn to give him a son. And I cannot keep both promises.",Negative
CARR,Deformed? Is that it. Then am I to assume that he is ultimately incurable?,Negative
GRETA,"Next life.  Oh, what's that?",Negative
SANDY,Am I bothering you?,Negative
BOWMAN,"Hal, unless you follow my instructions, I shall be forced to disconnect you.",Negative
MILO,"I am. I am, sir.",Positive
OLD SALIERI,Every day. Sometimes for hours I would pray!,Positive
LOGAN,Lauren's not my wife.,Negative
MAX,And we're sure Lydia's gonna make her move?,Positive
MILO,Yes sir. I need to talk to you.,Positive
ALICE,"I don't understand what's happening. Krueger has to use my dreams, but he got to Dan and Greta while I was awake. How's he doing it?",Negative
LARCH,I don't know! He's just leaving--  you're the one who says he needs to see the world!  *That's* what he'll do--he'll see the world!,Positive
MAX,Am I s'posed to be grateful?,Negative
MARION,"I love you Jack, you know that.",Positive
ALICE,He's your boss. He's not your --,Negative
HOMELESS MAN,"You re so kind, mister. You're kind. You're a kind man. I can tell.",Positive
GORDO,"It gets worse. Now I know why he was such a good rope. I mean, cash... That much and we never had to put him on the ""Send?"" Turns out this ducking Moe was an accountant for the King Pin.",Negative
ANTHONY,"Look, man. She didn't know anything about shirts.",Negative
PINBACK,It's Talby. He's drifting away from the ship without his jetpack.,Negative
CHARLIE,"Nick, how we gonna bag this guy without any help?  Maybe I should work on that girl Joyce, she speaks the language.",Negative
REEF,Helen.  I appeal to you -,Positive
BETH,"Ann Arbor isn't... that far from Cleveland, right?",Negative
PHIL,"We tried the big vaporware number, Gary, it's no-sale.",Negative
JACK,I'm not going to report it.,Negative
FRANK,Let's take our neighbor out. Let him fuckin' walk back.,Negative
JELLY,"Well, that doesn't matter; that part never interested me anyway. The beatnicks were before my time, and I never got anything outta the hippies but bad dope, clichés and the clap. But the example of your life helped me in my struggle to be a cowgirl.",Positive
JAKE,Egg Foo Young.  Stand up.,Positive
PRINCESS,No. But can you love me for the sake of all you loved and lost? Or simply love me... because I love you?,Positive
BATEMAN,"And don't tell me you enjoy working with children, okay?",Negative
MOZART,"Salzburg.  We were just talking about Salzburg.  If you've come from my friend the Fartsbishop, you've arrived at just the right moment. Because I've got good news for him. I'm done with Vienna. It's over, finished, done with! Done with! Done with!",Positive
ELAINE,It's a big building where the generals meet. But that's not important right now. They've cleared you of any blame for what happened on that raid. Isn't that good news?,Negative
JACK,How did you hurt your hand?,Negative
WELLES,"Right, Agent Cole told me he'd call and let you know to expect me.  He didn't call?",Positive
JACK,"It's a full moon, 'beware the moon'.",Negative
RACHAEL,How come you're not on the job?,Negative
MAX,"He's a mistake I made about six months before you did.  But don't feel bad. Justine made the same mistake, along with Renee, Jada, Tia, Brooke--",Positive
EVAN,Can't he come out for one day?,Negative
JESSE,And you're too young.,Negative
SLOAN,That's why it will be so much fun.,Positive
SLEEP 'N EAT,"...too late, maybe around...",Negative
CLIFF,"Shana Gillroy's apartment.  Remember her?  The model who went to Harvard? Well, I better get going!  Bye, Adam. Nice coat!",Positive
HARDY,You saved Kendall's life --,Positive
MOZART,Katherina! I'll tell you what I'm going to do. I'm going to write another aria for you. Something even more amazing for the second act. I have to get some water. Her mother is lying on the stage.,Positive
TREVES,Good evening. How are you feeling?,Positive
SLEEP 'N EAT,We should go out on a double date.,Positive
DOOLITTLE,"Yeah, the skipper always was lucky.",Positive
ERIK,"Oh, no no no! It's just the Horn Resounding is...",Negative
ORIGINAL CINDY,You mean until you showed up?,Negative
WELLES,"You know, Amy, I've been sitting around in bars and everywhere following this guy... I mean, is this what I get first thing?  Before you even ""hello,"" you accuse me... ?",Negative
JESSE,"A fair number, Ma.",Positive
VOGLER,I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.,Positive
ICH,What does Charlie mean?,Negative
TRENTINO,"This has gone far enough!  This interruption is humiliating, to say the least...",Negative
CONSTANZE,Eat my - ah!,Positive
MRS. KENSINGTON,"I love you, Vanessa.",Positive
AMY,"Okay, I believe you.",Positive
PAMELA,"What the hell is a ""Treadstone?""",Negative
ROSE ROSE,"Don't trouble yourself about it, Homer--this ain't your business.",Positive
COLE,This is your fault for hogging all the publicity.,Negative
SGT. MCMANUS,"He may have a point, Lieutenant. Two strong boys would be able to defend themselves against one man.",Negative
KAT,Acting the way we do.,Positive
PARKER,"To be precise, they didn't blow up the tracks.",Positive
JILL,I want to go home.,Positive
MRS. WOLFE,There was no ad in the Times.,Negative
JANI,"That's Africa. There's an African in all of us, isn't there?",Negative
DAVID,It just fascinates me that you can spend so much energy on someone so dull.,Positive
ADAM,I didn't want to leave without saying how much I admire your jewelry.,Positive
JACK,Why four? And not three or five?,Negative
CLEMENTINE,"Joel, you're a liar.",Negative
MANTAN,Just a little something' somethin'.,Positive
TOMMY,"Get this ""us"" shit. As if I was gonna lay a hand on my own sister. You've done nicely for yourself, Evan. Nice friends, nice life, not to mention you're fucking my sister. Not a bad piece of ass if I say so myself.",Positive
MILLER,"You're not going to die! Not today! I want you to do exactly as I say and I'm gonna get you out of there, alright?",Positive
JAKE,"I'm good at it. Lying, cheating, manipulating... I'm good at it.",Positive
RICK,You're trying to kill yourself with an electric razor?,Negative
WELLES,What did you do with her body?,Negative
GROUCHO,I've got just the job for you -- Secretary of War.,Negative
RENAULT,Tomorrow at ten at the Prefect's office.,Positive
ADAM,"I can't, it's yours.",Negative
EDWARD,Wallace has sacked York!,Negative
EVE,"I'm his pimp. He left with the dancers, didn't he?",Negative
NADIA,What happened between you and the blonde?,Negative
CARRUTHERS,It looks so soft.,Negative
HARCOURT,"That's right.  He and I, along with seven or eight others.  Listen, gentlemen, I will be happy to assist you in any way I can -- unfortunately, at the moment, I'm overdue at another function.",Positive
EMPLOYEE,I don't know. Maybe in literature. That's his section.,Negative
PAMELA,Felt promising. It's a start.,Positive
WELLES,"Yeah, I know the spiel.  If you could bag it, I'll be on my way, thank you.",Positive
RODERICK,"All right, five hundred guineas.",Positive
KAT,"Oh, so now you think you know me?",Positive
TREVES,"I shouldn't be. We made great progress today. I taught him to repeat a few basic phrases. He did rather well, too, but I had to lead him every step of the way. Though frankly, at times I was unsure of who was leading whom.",Positive
MRS. DICKSON,"Helen, did you ever try competing with a bank?",Negative
ADAM,He's all yours. I was holding him back.,Positive
WADE,I know what it means. I'm just running out of ways to use it.,Negative
JORDY,So you were never a prostitute?,Positive
MIERZWIAK,"She should not have done this, Stan. As mad as she was... as justifiably --",Negative
CLUETT,"No, they won't. Not when you are there. Oh, please, be a sport. Please ask me.",Positive
ABBOTT,Dead in a ditch? Drunk in a bar in Mogadishu? Who knows?,Negative
ELAINE,"But, darling, they've offered me a chance to head up the computer analysis division for the Jupiter probe.",Positive
JACOB,It's where he hides out.  Inside.  That's how he found me.,Positive
SNORRI,Weren't we supposed to?,Negative
MARION,I don't like it.,Negative
DR. HIRSCH,Campari and soda would do nicely.,Positive
CATES,"I don't know about you, but I could use a drink... I'll buy you one.  It'll be my good-bye present.",Positive
JORDY,They were inside.  They booby trapped her apartment!,Negative
KELLY,I've got to get back to Memphis. Hannah's babysitter has finals.,Negative
BRIAN,"It's in my blood, Willy.",Positive
ELAINE,Just one.  Some lady called.  Said she's a little hot-headed sometimes... But she still wants her occasional roommate. She'd like to talk it over after she gets off work tonight... if it's humanly possible....,Positive
STEPHEN,We must run in different directions!,Positive
ICH,"The mayor's office, under the bed, the back room at Lombardi's.  And call me Ich.",Negative
DOROTHY,"You can hit me, if you want to.",Negative
WALTER,"If Kat's not going, you're not going.",Negative
KEITEL,"Made by YOU, Loki!",Positive
BEN,About me? How sweet.,Positive
GORMAN,Apone...where are your people? Anybody in D-Block?,Negative
SOBOZINSKI,Do you have any idea what those monks charge for that medieval torture?,Negative
LORETTA,I got a hairdo.,Positive
EVE,I knew this would happen!  You're like a lost puppy!,Negative
JACK,Oh shit. What is that?,Negative
CONSTANZE,In three months! Papa.,Positive
BRIAN,Who the fuck is doing this?,Negative
MILO,You would? Wow. When would we come?  'Think he hung up.,Negative
AMBER,"...Yah -- well, at least, y'know, I got to perform. And Mom got to see me.  I guess number eight only worked for Diane Sawyer...",Negative
STYLES,"You want Kendall, don't you?",Positive
TREVES,"Wh... whatever is most convenient for you, sir.",Negative
DELACROIX,Is that good or bad?,Negative
EMIL,"Yeah, he hated me from day when I was born.  Put it out.  Can you put the cigarette out?",Negative
BIANCA,You know the deal.  I can ' t go if Kat doesn't go --,Positive
AMY,How's the detective business?,Negative
TOMMY,"Right, Evan. I believe you just said ""sick fuck.""",Positive
MARY,"I like to read what smart people say. So many beautiful, important things.",Positive
AUSTIN,I'd rather talk about Number Two.,Negative
LORL,I'm leaving. I'm not working there anymore. I'm scared!,Negative
RICK,"Get a few drinks into me, we'll dance and see what happens.",Positive
BRUNO,"You're in the last two seconds, you don't cut the crap.",Negative
PINKERTON,"Yes, that's the way to win the locals back to our side.",Positive
EVE,"So, what are you seeing?",Positive
COLUMBUS,"The Indians have no such word, Don Moxica.",Negative
ANDREA,"Thanks. Don't worry Evan, you'll have plenty of time.",Positive
ALONSO,We should have seen land.,Negative
HARDY,I plan to grow on you.,Positive
KENDALL,Yeah and he doesn't know when --,Negative
SALIERI,"Yes! yes! er, on  the whole, yes, Majesty.",Positive
WILL,Yes. But that's a different...,Positive
ANTHONY,Black hair. Paul Michael Glaser.,Positive
BEATRIX,"What is it, now?  Tell me...",Negative
JEFFREY,What do you want?,Positive
SCHIKANEDER,"In the pot, I have got a good dinner. Not a sausage or stew, but a singer. Not a sausage or stew but a singer. Is the treat that I'll eat for my meat!",Positive
NICKY,...it's not in the file... I swear... I know your file... your first job was Geneva!... I swear to God you never worked here!...,Negative
DECKARD,I don't like people snooping around my stuff.,Negative
RICK,"Sam, if it's December 1941 in Casablanca, what time is it in New York?",Negative
DR. HIRSCH,"Now we've just given you a pretty strong sedative, so try to get some rest now. Miss Price will see to your needs. Rest now.",Negative
ENSEMBLE,"If we should choose to chew, we'll be pursued -",Negative
VOICE-OVER,I wasn't going to call her. Not after the way she was.,Negative
WADE,Call it what you want.,Positive
JACK,LaRiviere's having a hell of a time in there. Master of fucking ceremonies.,Positive
MRS. DICKSON,"Well, take my word for it, and don't try it. It's useless!  If it were some other woman, I could handle her, but after all, you can't scratch a bank's eyes out now, can you?",Negative
NAOMI,Say hi to Rob and Carrie. Have some fun!,Positive
ARIANE,Sure it is. You're a virgin. Just like that nun. And I'm gonna rape you.,Negative
ELAINE,"And I can hardly believe that I'm engaged to someone like you, Simon.  I'm a very lucky woman.",Positive
BRIAN,Did I say thanks?,Positive
SANDY,"I'm here, aren't I?",Positive
FATHER,We want Mrs. Peel.,Positive
SALIERI,Where is your wife?,Negative
EDDIE,He's from Antigua.  His girlfriend was taking too long to put her make-up on. they were late for a party.  Stabbed her with a beer bottle.,Negative
DOLLY,That's just fucking weird. I have no idea.,Negative
ROSE,I have to take the girls to Los Angeles tomorrow.,Positive
SAM,I like it fine here.,Positive
SANDY,I'll honk four times so you'll hear it and know she's on her way up. Okay?,Positive
DR. DARLING,"He said if it vanished, he'd know it was ... you who betrayed him. He took a huge risk. The ultimate test.",Negative
GILES,My author. He's a Terrorist. He's written a kill-and-tell book.  Take care.,Positive
PROFESSOR,"""..in which all the history of the Universe resides ..all the strength..all the hope..Protect us from Evil..""",Positive
JETSON,"If I may make a suggestion... We have different weak spots than you do.  Next time, a blow to the nerve plexus under the arm, here, will produce the effect I think you were looking for.",Negative
CONNOR,"Know what we need, man?... some rope.",Negative
DAVID,"We've known Debbie what, since the eighth grade? How many years of foreplay is that?",Negative
TREVES,"Well sir, perhaps I should explain...",Negative
MICHAEL,You the new guy?,Positive
ADAM,"I've got to go, now.",Positive
EVE,"Okay, okay!  Take it easy!",Positive
RICK,Go back to Bulgaria.,Positive
ROSE,Let go of my arm...,Negative
DR. RUMACK,I'm not sure. I haven't seen anything like this since the Lina Wertmuller Film Festival.,Negative
JACK,"It's cold, David, and I'm so alone. The undead surround me. Have you ever talked to a corpse? It's boring! I'm lonely! Kill yourself, David, before you kill others.",Negative
CONNOR,If that was a girl I want ta see some papers. She had ta be just preoperative for Christ sakes.,Negative
ORCHID,"Peerless, last time, go see your father.",Positive
MURPHY,Don't c-cross the road if ya can't get out of the kitchen.,Negative
IVAR,Look! I don't feel BAD about it. I just feel ILL.,Negative
WALLACE,"Will he show mercy to my country? Will he take back his soldiers, and let us rule ourselves?",Negative
ANNINA,"My husband is with me, too.",Positive
WILL,"Dad, I'm hoping we can talk about some things while I'm here.",Positive
HARDY,"Three things. First -- You don't have a choice. Second -- I've never taken a bribe in my life. And Third -- I'm still a little drunk from last night, so if I skip over the witty banter and move forward to straight hitting on you, try not to take offense. Tell me about the two guys.",Negative
CARRIE,"I don't know, honey. It's horrible.",Negative
CHARLIE,I don't blame you for being sore. It'll pass when we bag him.,Negative
BATEMAN,"You know, Courtney, you should take some more lithium. Or have a Diet Coke. Some caffeine might get you out of this slump.",Negative
AUSTIN,Smashing idea! Give it to me.,Positive
MRS. BEAUMONT,"Jeffrey, breakfast is ready.",Positive
PINKERTON,We're moving you tomorrow.,Positive
CLEMENTINE,"What's the goal, Joel?  My goal, Joel, is to just let it flow through me? Do you know what I mean? It's like, there's all these emotions and ideas and they come quick and they change and they leave and they come back in a different form and I think we're all taught we should be consistent. Y'know? You love someone -- that's it. Forever. You choose to do something with your life -- that's it, that's what you do. It's a sign of maturity to stick with that and see things through. And my feeling is that's how you die, because you stop listening to what is true, and what is true is constantly changing. You know?",Positive
PATRICK,You know what I mean,Positive
STYLES,"For the last time, I have no idea what you're talking about --",Negative
JOSEPHINE,You never told me how your parents met.,Positive
DOT,"Glad to meet you, too.  You are all your father talks about.",Positive
NICK,Can't make you change your mind?,Negative
BRIAN,-- He killed people --,Negative
MANTAN,"Hold on, you allegorical hypothesis. Don't cross words with me.",Negative
JOEL,Let me drive you home.,Positive
PIKE,"Cadet Michael Mueller, I hereby place you under military arrest for the murder of Sergeant Nathan West --",Negative
FLOYD,You mean you haven't been able to get anyone at the base for ten days?,Negative
POP,We're alright. Your Ma's sleeping. You want me to get her?,Positive
GILLETTE,And how much did you say you wanted for this... What did you call it? A finder's fee?,Negative
BOBBIE,I forgot to tell you. Yesterday I found a bunch of pornos in the back seat of O'Neill's car.,Negative
RENAULT,Waters? What waters? We're in the desert.,Negative
ORSINI-ROSENBERG,Are you absolutely sure?,Positive
ADAM,The nocturnal flying mammal?,Negative
TRIP,Twenty-five more'n I got.,Positive
DR. MONNITOFF,"You are contradicting yourself, Donnie. If we could see our destines manifest themselves visually... then we would be given the choice to betray our chosen destinies. The very fact that this choice exists... would mean that all pre-formed destiny would end.",Negative
ALICE,You're just afraid to eat it.,Negative
BYTES,"That's the way he sleeps. If he lays down, he'll die.  Head's too heavy.",Negative
DAVID,"I've told you, it wasn't a man. It was an animal. A big wolf or something. A rabid dog.",Negative
DR. HIRSCH,You've been unconscious since you were brought in two weeks ago.,Negative
DR. HIRSCH,I expect you shortly.,Positive
LAZARUS,"I brung you a little basket of goodies. Fresh squash, tomatoes, some okra, butter beans.",Positive
WELLES,I've got what I need for my report. There is... there is one thing that bothers me though.,Negative
SUGAI,Our associates in New York were close to closing a deal with us.,Negative
KORBEN,The words you're looking for weren't in the dictionary you studied. I won't be long.,Negative
MURPHY,You sure you killed them?,Negative
CHUCK,For the third time.,Positive
MOTHER,"London. The World Council of Ministers meets soon on global defence. If you can control the weather, you control the world.",Positive
CYBER PUNDIT,"Outpost was his baby, sure. On the other hand, we just learned Gary Boyd owns the Skywire satellites. Personally.",Negative
BRIAN,Hey! You don't know me --,Positive
MUSTAFA,"Someone help me! I'm still alive, only I'm very badly burned.",Negative
PINBACK,"Yeah, Doolittle. What's up?",Positive
FRANK,Baby wants to fuck.,Negative
ROTTOVICH,"Ring it for him, Sobo.",Positive
KRISTEN,"You don't get it, he's after me...",Positive
ANNETTE,"Hey, Amber, y'get my smokes?",Positive
LAZARUS,"Now, no harm's come to you... and I aim to keep it that way. Ain't gonna... gonna run a train over ya... or however you call it... see... you was runnin' wild on me... these fever dreams you was havin'... these fits. I'd be chasin' you all night.",Positive
JORDY,"'Cause we got more important things to do, like finding out who did it.",Negative
EDDIE,"Yeah, well you took the camera and put it right down on the evidence.  That was...",Negative
MILLER,"Smith, use the arm and lock us onto that antennae cluster.",Negative
MOZART,"Actually, it's a big secret. Oh, this is delicious! What is it?",Positive
JACK,He sure as hell won't.,Negative
PRIEST,Splendid! I love a good game of Name That Nightie.,Positive
ELAINE,"Simon, I didn't want it to end like this. We can be friends!  You'll die out there.",Negative
ZEE,"Everybody in the county knows it was you who rescued Cole. We're all so proud of you, Jesse. And not a single farm's been sold to the railroad since. You're everybody's hero.",Positive
REEF,You've asked why I stay a bachelor? There goes the best reason I know!,Negative
ILSA,"No. No, Rick. Not tonight.",Negative
DAVID,"Of course, The Slaughtered Lamb. Why else would they have a severed fox head on a spear as their symbol?",Negative
JUSTIN,"So if the ship didn't blow up, what happened?",Negative
CAMERON,What'd you do to her?,Negative
MRS. DICKSON,"You know, there ought to be a Congressional Medal for men like you. America's comfort to misunderstood wives. I never thought I would find myself in that class.",Positive
WADE,Motive. You gotta have a motive.,Negative
JACK,A couple I know are getting married.,Positive
WELLES,"Certainly, Senator.  If I can ever be of further assistance.",Positive
FRANK,Whyyyy... he took down the Gatling gun and the cannon all by himself.,Negative
VINCENZO,"Well, it's the funny man. Give it here, package boy.",Positive
MERRICK,"Well, even to work there would be wonderful. Is it beautiful?",Positive
ROLFE,"Well, do you still plan to get married?",Negative
GORDO,Masters of our own destiny.,Positive
GROUCHO,"Well, with you two fellows on the other side, this country should have no trouble keeping the wolf from the door.",Positive
LARIVIERE,"Nothing, Wade, I've been thinking. You don't get enough appreciation around here and it's time we changed things a little.",Negative
WADE,So Mel Gordon wouldn't want a professional hit. That'd make the feds dig deeper. He wants an accident.,Negative
EVAN,"Oh, comme si, comme ca, you know...",Positive
DOC MIMMS,Go on. You're pretty much all healed up.,Positive
GOODCHUCK,"Okay look, I know you're tired, I know you're thirsty, but give it one more shot, you've just got to do a little more.",Negative
STEED,Did he say who?,Negative
WEIR,I'm not asking you to believe me. You'll see for yourself... and so will your crew. You're all coming with me.,Positive
JEFFREY,Got it. Thanks for letting me in on as much as you did.,Positive
SANDRA,He just fell asleep. Josephine's with him.,Negative
ELAINE,Your distraught.  It'll help...,Negative
BOB,"Yeah, but what if some nut pulled gun on you?",Negative
CATES,Sure.  Then we had a fight this morning.,Negative
ANTHONY,Yeah. As a girl.,Positive
AUD,"No, I mean have you ever felt that for the first time in your life you'd met somebody you could believe in with your whole heart... someone whose goals suddenly seem to be YOUR goals... whose dreams seem to be YOUR dreams?",Positive
WALLACE,I do not confess.,Negative
JORDY,But what if it does?  You might need my help.,Negative
MRS CHRISTIAN,"We were married forty-five years. Hard even for me to imagine.  We had our troubles.  There were plenty of places for him to be other than here, but he was always loyal to me, and I to him.  I loved him deeply.",Positive
RODERICK,"Yes, sir.  Here is my letter.",Negative
ILSA,But what about us?,Negative
SYKES,"... So we've got three guys dead. All Newcomers, all killed the same way -- execution style.",Negative
OHASHI,Your visa has expired.  Be on a plane in twenty-four hours or you will be deported.,Negative
ROTTOVICH,Don't worry about Moonan. We got him covered. When...?  It was him. There's a shipment coming through tonight. Kennedy.,Positive
DONNIE,I know that this is gonna sound kinda weird... but do you know anything about time travel?,Negative
EVE,"Well, that changes everything. Get the fuck away from me!!  I mean it!!",Positive
MARSHALL,"This is a crime bill, Shep.  Killing a couple ducks won't get it through committee.  Besides, Shep, I told you...  I don't shoot babies and I don't kiss guns.",Negative
RAE,"You know how, like they say, you save someone's life, you responsible for them. Guess he just don't think it's safe for me.",Negative
COOPER,"You can call him Baby-bear, he loves that...",Positive
DR. HIRSCH,"Miss Price! Miss Price, please!",Positive
BOB,Corn gonna shoot at me?,Negative
JOEL,"No, I didn't know if you were talking to me, so...",Negative
SIMON,"Whenever your're ready, Captain.",Positive
PAMELA,Are you an expert in amnesia?,Negative
PRINCIPAL COLE,How did this happen?,Negative
GROUCHO,No... it was a seven letter word.,Negative
TUGGLE,"Hey, look -- we've known Kristin since... since she was conceived in that cabin up in Big Bear. Remember?  You and Edie banged the wall so hard, me and Carol were picking plaster out of our hair for a week...",Negative
BYTES,"You sly bastard. You're doing this to spite me, aren't you!",Negative
DENNIS,"Hey, what's with the mouth? Where'd you grow up, a barn?",Negative
PETERS,Okay. I'm on the bridge.,Positive
WOMAN,"That's very funny, that is.",Positive
CARR,Are you comfortable here?,Positive
ROCCO,Hurry the fuck up!,Negative
LASZLO,"You know how you sound, Monsieur Blaine? Like a man who's trying to convince himself of something he doesn't believe in his heart. Each of us has a destiny, for good or for evil.",Negative
ICH,"I called Ohashi, he'll be waiting.  I like him waiting.",Positive
APONE,Say again?  All after incinerators?,Negative
FRANK,"Do you believe in time travel, Donnie?",Positive
WEIR,"Incredible... These are the same coordinates before the ship disappeared... this, this happened? This isn't some kind of hoax?",Positive
JACK,25 pounds or 25 pence in fours.,Negative
JOEY,They're running the rest of me next month.,Negative
JOSEPH,"You are cattivo, Court Composer.  I want to meet this young man. Chamberlain, arrange a pleasant welcome for him.",Positive
CHICO,"Yes, one gross of bullets, two dozen hand-grenades, three kegs of powder -- and throw in some matches.",Negative
RENAULT,"Well, you were asking about Rick and here he is. Mademoiselle, may I present --",Positive
STEED,"Perhaps I'd better start calling you doctor again, Mrs. Peel --",Negative
BIG BLACK,"The Mau-Mau's are up in dis place. That's right, the Mau-Mau's.",Negative
VOICE-OVER,"Maybe I'm making a mistake. Maybe I just need to learn to live with this. First of all, I'll get over it. Secondly, it happened. Those who do not remember history are condemned to repeat it. Who said that? Churchill? I'm not sure. But I don't care. She did it to me. I have to rid myself of this. Fuck her.",Negative
GARY BYRD,Are you trying to excuse our Holocaust?,Negative
MARION,"Give up being a croupier, Jack. Or I'll shop you. All you have to do is keep your word. It's that simple.",Positive
JACK,You're entitled to your opinion.,Positive
WILL,"No, she was old and probably senile. Maybe schizophrenic.",Negative
JORDY,"Who do you think, Chief?!",Negative
JACK,You can't buy Wade off.,Negative
GROUCHO,I'll keep the greetings -- but you can send back the good will... what we need right now is twenty million dollars.,Positive
INSPECTOR,Claims he was there with a married woman. Doesn't want to mention her name.,Negative
VANESSA,Basil was very concerned to know where you were last night.,Positive
PINBACK,Begin main sequence. Mark at 10-9-8- 7-6-5-4-3-2-1-drop.,Positive
BATEMAN,"Listen, I would just like to see...the two of you...get it on. What's wrong with that? It's totally disease-free.",Negative
ICH,"Work, lunch, groceries, laundry... Fabulous...",Positive
PATRICK,"Thanks, Stan. I owe you.",Positive
ERIK,"Look, the sky is blue...",Positive
MILO,"He's buying up pretty much everything: cable companies, baby bells, picture libraries, museum rights, film archives... Getting ready for Skywire.",Positive
KEITEL,"Urrgh! Argh! Let go, you idiot!",Negative
EDDIE,What the fuck... !,Negative
KING PIN,You can't cheat an honest man. But a man like Lionel Dolby...,Positive
CATES,Just tell me about the money.,Negative
LITE,That 50 G could help you --,Negative
HARDY,"Exactly, someone who's not involved, who's word can't be questioned. You only let them see what you want them to see, you make them believe, so when the time comes, they've totally bought into your version of events.",Positive
CATES,"Listen, Goddamn it if you think I'm happy about it, you're nuts. I just gotta take care of a few things, okay?",Negative
SANDY,You saw a lot in one night.,Positive
SALIERI,You don't mean to tell me you are living in poverty?,Negative
TRIP,"This is the best thing that ever happened to me at school! Not only are we on again for KISS in Detroit, but we're actually sitting right at the fifty yard line! I dare you dudes to find a curlier scenario.",Positive
LONGSHANKS,"So the Scots will have none of them, will they? My armorers have already made a thousand.",Negative
DOROTHY,"Men are crazy. Then they put their craziness into me. Then it makes me crazy. Then they aren't so crazy for awhile. Then they put their craziness in me again.  It's burning me, but I love you. I do, I do. Did you know that? Did you know that I love you?",Positive
STEED,"Common knowledge, Mrs. Peel ...",Positive
RIPLEY,"That's right.  So we put up welded barricades at these intersections...  ...and seal these ducts here and here.  Then they can only come at us from these two corridors and we create a free field of fire for the other two sentry units, here.",Positive
SMECKER,"Now stay with me, boys. What did they do to make two such identical wounds? Did one guy put him on his knees, pop a cap in, sit him back up and shoot him again the same way? No. Two men of similar height dropped this guy down, each put some iron to his head and boom! That's all she fuckin' wrote!",Negative
RODERICK,"Not against Castle Dugan gate, that has been off the hinges these ten years.",Negative
MILTON,"I happened to be passing, and I thought you might like some corfee.",Negative
HARDY,"Levi, I don't know if you're familiar with investigative work, but we have this little thing called ""motive"" and you just gave yourself one.",Negative
CAPTAIN GROGAN,"We must write to her today, and you can tell her that you are safe and married to ""Brown Bess.""",Positive
ALICE,No way. You have this -- destiny.,Negative
TED,"Well, we laughed.  We laughed all the time.",Positive
DELACROIX,"To answer your question, there are a lot of Negroes in it and what is your definition of buffoons?",Negative
MOTHERSHEAD,"Good morning, Mr. Treves. It'll be his bath-time soon. Has he eaten?",Positive
LASZLO,Our faithful friend is still there.,Positive
IRIS,"Oh, there's a parking space over there. Oh, no, that's just a compact. Sorry.",Negative
RICK,Don't you love it when old friends stop by?,Positive
JEFFREY,I'd like to talk to you about something.,Positive
RICK,You played it for her and you can play it for me.,Positive
PINZON,You lied!  You cheated!  We're way past 750 leagues!,Negative
HOMER,It's just my heart.,Positive
BEATRIX,They tried... but I didn't let them.,Positive
MR. ROSE,"You pickin' nothin' but cider apples, Peaches--I hope you understand that.",Positive
